feature,legit_flagged,legit_passed,phishing_caught,phishing_missed
URLLength,37.0,26.0,34.0,27.0
DomainLength,30.0,19.0,22.0,20.0
IsDomainIP,0.0,0.0,0.0,0.0
TLDLength,3.0,3.0,3.0,3.0
NoOfSubDomain,2.0,1.0,1.0,1.0
HasObfuscation,0.0,0.0,0.0,0.0
NoOfObfuscatedChar,0.0,0.0,0.0,0.0
ObfuscationRatio,0.0,0.0,0.0,0.0
NoOfLettersInURL,23.0,13.0,20.0,14.0
LetterRatioInURL,0.605,0.481,0.577,0.5
NoOfDegitsInURL,0.0,0.0,0.0,0.0
DegitRatioInURL,0.0,0.0,0.0,0.0
NoOfEqualsInURL,0.0,0.0,0.0,0.0
NoOfQMarkInURL,0.0,0.0,0.0,0.0
NoOfAmpersandInURL,0.0,0.0,0.0,0.0
NoOfOtherSpecialCharsInURL,2.0,1.0,3.0,1.0
SpacialCharRatioInURL,0.054,0.042,0.08,0.043
IsHTTPS,1.0,1.0,0.0,1.0
