feature_set,model,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,log_loss,brier,probability_rmse,probability_mae,legit_false_alarm_rate,phishing_miss_rate,phishing_caught,phishing_missed,legit_flagged,legit_passed,n_test
full,logistic_regression,0.5,0.9999660112502762,0.9999602069239952,1.0,0.9999204138479905,0.9999602053404433,0.9999305464841048,0.9999999858358226,0.999999981002291,0.00029900319097793897,4.5465398948381715e-05,0.00674280349323497,0.00022893839268055304,0.0,7.958615200955034e-05,25128,2,0,33713,58843
full,decision_tree,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,25130,0,0,33713,58843
full,random_forest,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8086272161048744e-05,3.7665199485636913e-06,0.0019407524181522205,3.563153929382705e-05,0.0,0.0,25130,0,0,33713,58843
full,hist_gradient_boosting,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3747738175510481e-07,2.583221654354592e-09,5.082540363198892e-05,2.3617510123335422e-07,0.0,0.0,25130,0,0,33713,58843
no_derived,logistic_regression,0.5,0.9995581462535901,0.9995586719709779,0.9994031988541417,0.9995622761639474,0.9994827311793729,0.9990971100195885,0.9999967894531268,0.9999957436438534,0.001520770516248125,0.00034471060002479886,0.018566383601143193,0.0008167779020112966,0.00044493222199151663,0.00043772383605252685,25119,11,15,33698,58843
no_derived,decision_tree,0.5,0.9993032306306613,0.9993260749321102,0.9988864585404653,0.9994826900119379,0.9991844853306813,0.9985764115445813,0.9993260749321101,0.9985906514717273,0.025114113640599834,0.0006967693693387489,0.026396389323897103,0.0006967693693387489,0.0008305401477174977,0.0005173099880620772,25117,13,28,33685,58843
no_derived,random_forest,0.5,0.9996771068776235,0.9996776858812506,0.9995623284128436,0.9996816553919617,0.9996219883413247,0.9993401908207805,0.9999996630106132,0.9999995360272167,0.001710801041641099,0.00030300894848249676,0.017407152222075176,0.001473525596360938,0.00032628362946044554,0.00031834460803820136,25122,8,11,33702,58843
no_derived,hist_gradient_boosting,0.5,0.9999830056251381,0.9999801034619976,1.0,0.9999602069239952,0.9999801030661175,0.9999652728150075,0.9999999480646828,0.9999999304482663,0.00021856274537660104,2.1243642370911183e-05,0.0046090825953665855,3.560900662582636e-05,0.0,3.979307600477517e-05,25129,1,0,33713,58843
url_only,logistic_regression,0.5,0.9970599731488877,0.996654142740371,0.9992398479695939,0.9938718662952646,0.9965486284289277,0.9939989506933031,0.9982944199904513,0.9987176672479268,0.014572748843599765,0.0025901184092064766,0.050893205923840924,0.005774507656362601,0.0005635808145225878,0.006128133704735376,24976,154,19,33694,58843
url_only,decision_tree,0.5,0.997229916897507,0.9968581735843309,0.9992002239372976,0.9943095901313171,0.9967489079921017,0.994344952790956,0.9967906877710235,0.9974239047137958,0.049624246863204,0.0026490430887124348,0.0514688555216884,0.00413832541881629,0.0005932429626553555,0.005690409868682849,24987,143,20,33693,58843
url_only,random_forest,0.5,0.9973148887718165,0.9969424598825348,0.9993201631608414,0.9943891762833267,0.9968485718844742,0.9945188212688435,0.9980481533400622,0.9985598123030754,0.024927895547687796,0.0023753213660147408,0.04873726875825871,0.004543886494570645,0.0005042565182570522,0.005610823716673299,24989,141,17,33696,58843
url_only,hist_gradient_boosting,0.5,0.9978247200176742,0.9974887013832464,0.9997201790853854,0.9951850378034222,0.997447453435967,0.9955601081608695,0.9978474782257937,0.9984516592057068,0.016924589300497214,0.0020892454527193165,0.04570826459973422,0.0035977651128585716,0.00020763503692937442,0.004814962196577796,25009,121,7,33706,58843
