TLD,n,n_legit,n_phishing,share_phishing,legit_false_alarm_rate,phishing_miss_rate
com,28180,17301,10879,0.38605393896380413,5.780012716027975e-05,0.006158654288077948
org,4644,4094,550,0.11843238587424634,0.0,0.005454545454545455
net,1693,951,742,0.43827525103366805,0.0010515247108307045,0.009433962264150943
uk,1604,1517,87,0.05423940149625935,0.0,
app,1578,36,1542,0.9771863117870723,,0.0
co,1387,115,1272,0.9170872386445565,,0.0007861635220125787
io,1049,112,937,0.8932316491897044,,0.0
de,1004,842,162,0.16135458167330677,0.0,
ru,1000,223,777,0.777,0.0,0.005148005148005148
au,712,613,99,0.13904494382022473,0.0,
top,622,1,621,0.9983922829581994,,0.004830917874396135
dev,587,7,580,0.9880749574105622,,0.005172413793103448
jp,531,501,30,0.05649717514124294,0.0,
fr,508,363,145,0.2854330708661417,0.0,
edu,480,479,1,0.0020833333333333333,0.008350730688935281,
br,458,307,151,0.3296943231441048,0.0,
it,444,395,49,0.11036036036036036,0.0,
nl,402,360,42,0.1044776119402985,0.0,
info,390,158,232,0.5948717948717949,,0.0
ca,389,368,21,0.05398457583547558,0.0,
in,363,224,139,0.38292011019283745,0.0,
site,362,2,360,0.994475138121547,,0.0
xyz,362,8,354,0.9779005524861878,,0.0
link,346,1,345,0.9971098265895953,,0.0
gov,340,340,0,0.0,0.0,
pl,332,148,184,0.5542168674698795,,
cf,310,0,310,1.0,,0.0
us,300,185,115,0.38333333333333336,,
ga,295,0,295,1.0,,0.003389830508474576
me,257,43,214,0.8326848249027238,,0.004672897196261682
cn,243,63,180,0.7407407407407407,,
ml,235,0,235,1.0,,0.00851063829787234
eu,227,160,67,0.29515418502202645,,
id,200,71,129,0.645,,
be,177,164,13,0.07344632768361582,,
se,163,132,31,0.1901840490797546,,
es,162,130,32,0.19753086419753085,,
nz,140,128,12,0.08571428571428572,,
mx,139,77,62,0.4460431654676259,,
za,138,103,35,0.2536231884057971,,
ro,138,102,36,0.2608695652173913,,
ch,135,118,17,0.1259259259259259,,
cz,132,121,11,0.08333333333333333,,
page,131,0,131,1.0,,
at,129,103,26,0.20155038759689922,,
gr,126,113,13,0.10317460317460317,,
club,123,9,114,0.926829268292683,,
biz,120,26,94,0.7833333333333333,,
gq,119,0,119,1.0,,
ie,118,116,2,0.01694915254237288,,
shop,100,4,96,0.96,,
fun,96,0,96,1.0,,
ar,95,59,36,0.37894736842105264,,
cloud,95,2,93,0.9789473684210527,,
dk,95,83,12,0.12631578947368421,,
ws,93,7,86,0.9247311827956989,,
tr,89,67,22,0.24719101123595505,,
ua,88,43,45,0.5113636363636364,,
no,87,85,2,0.022988505747126436,,
fi,87,81,6,0.06896551724137931,,
cc,85,15,70,0.8235294117647058,,
pt,79,64,15,0.189873417721519,,
mil,78,78,0,0.0,,
gd,76,1,75,0.9868421052631579,,
live,75,2,73,0.9733333333333334,,
il,72,64,8,0.1111111111111111,,
ir,69,17,52,0.7536231884057971,,
tv,68,58,10,0.14705882352941177,,
my,67,57,10,0.14925373134328357,,
cl,67,38,29,0.43283582089552236,,
vn,67,26,41,0.6119402985074627,,
sg,66,59,7,0.10606060606060606,,
ly,64,2,62,0.96875,,
hu,63,52,11,0.1746031746031746,,
online,63,5,58,0.9206349206349206,,
work,61,1,60,0.9836065573770492,,
kr,59,50,9,0.15254237288135594,,
tw,54,51,3,0.05555555555555555,,
hr,47,44,3,0.06382978723404255,,
tk,46,0,46,1.0,,
si,46,39,7,0.15217391304347827,,
sk,46,42,4,0.08695652173913043,,
ng,45,20,25,0.5555555555555556,,
rs,45,41,4,0.08888888888888889,,
icu,42,0,42,1.0,,
hk,41,35,6,0.14634146341463414,,
ph,40,33,7,0.175,,
bg,39,36,3,0.07692307692307693,,
pk,39,28,11,0.28205128205128205,,
ae,37,21,16,0.43243243243243246,,
ee,36,28,8,0.2222222222222222,,
network,35,4,31,0.8857142857142857,,
lt,32,26,6,0.1875,,
sh,31,2,29,0.9354838709677419,,
