feature,f1_drop_mean,f1_drop_sd
URLLength,0.2721625524603681,0.0016804107015177157
LetterRatioInURL,0.2548784912853112,0.001999851519972969
DomainLength,0.22108762966745554,0.002310596989597759
IsHTTPS,0.21966260539609256,0.002220523477727373
NoOfLettersInURL,0.11850833687839879,0.0010469966275482255
NoOfOtherSpecialCharsInURL,0.1178073491922916,0.0013728808509723372
SpacialCharRatioInURL,0.061654716156748425,0.0022697886013397952
NoOfDegitsInURL,0.0559105930446117,0.0012815932605093879
DegitRatioInURL,0.045289406890552296,0.0006172502487809066
NoOfSubDomain,0.03534185264020495,0.001149781721988756
TLDLength,0.001181943523182083,0.00022496608270970868
ObfuscationRatio,0.0,0.0
IsDomainIP,0.0,0.0
HasObfuscation,0.0,0.0
NoOfObfuscatedChar,0.0,0.0
NoOfEqualsInURL,0.0,0.0
NoOfQMarkInURL,0.0,0.0
NoOfAmpersandInURL,0.0,0.0
