feature,label,klass,median,q1,q3,iqr,mean
URLLength,0,phishing,34.0,26.0,48.0,22.0,45.703
URLLength,1,legitimate,26.0,23.0,29.0,6.0,26.229
DomainLength,0,phishing,22.0,16.0,29.0,13.0,24.444
DomainLength,1,legitimate,19.0,16.0,22.0,6.0,19.229
NoOfSubDomain,0,phishing,1.0,1.0,1.0,0.0,1.169
NoOfSubDomain,1,legitimate,1.0,1.0,1.0,0.0,1.162
NoOfLettersInURL,0,phishing,20.0,13.0,31.0,18.0,28.089
NoOfLettersInURL,1,legitimate,13.0,9.0,16.0,7.0,12.933
NoOfDegitsInURL,0,phishing,0.0,0.0,5.0,5.0,4.324
NoOfDegitsInURL,1,legitimate,0.0,0.0,0.0,0.0,0.051
